name,color,description,corresponding product label,action
Project: B-Cycle Station Planning,86B1C6,Locate new B-Cycle stations with the help of GIS,,ok
Project: BI Discovery,86B1C6,Identify ATD's Business Intelligence needs and evaluate potential solutions,,ok
Project: Bike Rack Data Inventory,86B1C6,Support PE in collecting and maintaing bike rack data for servicing.,,ok
Project: Branding and Identity,86B1C6,"Create a set of mission, values, standards, and identity assets",,ok
Project: CTN,86B1C6,GIS dataset encompassing all information about all modes of transportation.,,ok
Project: DAPCZ Agenda Tool,86B1C6,,,ok
Project: Data Driven PHB Ranking,86B1C6,New process for PHB prioritization ranking,,ok
Project: DTS Service Delivery,86B1C6,"Design and document processes the DTS team can use to intake, manage, and deliver services.",,ok
Project: Inspector Prioritization Automation,86B1C6,A multi-phase project to help ROW inspectors prioritize their work.,,ok
Project: Job Calendar Work Schedule,86B1C6,,,ok
Project: MDS Upgrades,86B1C6,Tracks the work needed to implement micromobility per-trip fees,,ok
Project: Micromobility Dashboard Updates,86B1C6,Enhancements to our public facing dashboard of dockless mobility data,,ok
Project: Mobility Data Privacy & Security,86B1C6,Establish principles and practices to support the safe and secure management of micromobility data.,,ok
Project: OSM Bicycle Data Update,86B1C6,,,ok
Project: Paperless Hiring,86B1C6,Effort to reduce/eliminate the use of paper during the ATD hiring process,,ok
Project: Parking Enterprise Work Order System,86B1C6,,,ok
Project: Parking Inventory,86B1C6,Parking data migration from AGOL to SDE,,ok
Project: Parking Technology Procurement,86B1c6,,,ok
Project: Print Bike Map,86B1C6,City of Austin's print version of the bike map.,,ok
Project: ROW Activity Dashboard,86B1C6,Publicly available web map that displays ATD's activities in the right of way.,,ok
Project: ROW Attendance Tracker,86B1C6,,,ok
Project: ROW Wishlist,86B1C6,For tracking ROW wishlist items from Nov 2019,,ok
Project: ROWMAN Ph 2,86B1C6,Phase 2 of the ROWMAN project.,,ok
Project: ROWMAN Ph 3,86B1C6,Phase 3 of the ROWMAN project.,,ok
Project: ROWMAN Ph 4,86B1C6,Phase 4 of the ROWMAN project.,,ok
Project: ROWMAN Ph 5,86B1C6,,,ok
Project: ROWMAN Ph 6,86B1C6,,,ok
Project: SCP3,86B1C6,Small Cell Permit Phase 3,,ok
Project: Sign Data Collection,86B1C6,Acquire comprehensive street sign data across the city,,ok
Project: Signs Migration,86B1C6,Signs migration to Knack,,ok
Project: SMB 311 Module,86B1C6,311 CSR integration in Signs and Markings Data Tracker,,ok
Project: Traffic Counts,86B1C6,This project created a new module in the Data Tracker to help streamline the traffic count and data,,ok
Project: Traffic Registry Digitization,86B1C6,This is an effort to digitize all of our street regulations in a geospatial database,,ok
Project: TxDOT Center-to-Center,86B1C6,Establish data sharing between the City of Austin and TxDOT,,ok
Project: Uniform & PPE Tracking,86B1C6,Project to track issuance of uniforms and protective equipment for various divisions,,ok
Project: Warehouse Inventory,86B1C6,Identifying an inventory management solution for ATD,Product: Finance & Inventory,map_append
Service: Apps,F2FC6D,Knack application support,,ok
Service: Dev,F2FC6D,Infrastructure and engineering,,ok
Service: Geo,F2FC6D,Geospatial services,,ok
Service: PM,F2FC6D,Product and project management,,ok
Status: Active,71E08F,Projects under active development by the DTS team,,ok
Type: Bug Report,0B3E79,Something is not right,,ok
Type: Communication,0B3E79,"Presentations, blog posts, etc.",,ok
Type: Data,0B3E79,Generating and delivering datasets and reports,,ok
Type: DevOps,0B3E79,Continuous integration pipeline operations and infrastructure,,ok
Type: Documentation,0B3E79,"User guides, developer documentation, planning documents, etc.",,ok
Type: Enhancement,0B3E79,Request for an improvement to existing functionality in an application,,ok
Type: Feature,0B3E79,Request for enhancements or new functionality in an existing application,,ok
Type: IT Support,0B3E79,"Software licenses, user accounts and logins, hardware set up, etc.",,ok
Type: Map Request,0B3E79,Request for a map,,ok
Type: Meeting,0B3E79,"Scheduled discussion, work session, etc.",,ok
Type: New Application,0B3E79,Request for a new application; user needs cannot be met by an existing application,,ok
Type: Operations,0B3E79,Internal DTS planning and administration,,ok
Type: Other,0B3E79,Not covered by other issue types,,ok
Type: Reports,0B3E79,Request for reporting,,ok
Type: Research,0B3E79,Research or discovery work,,ok
Type: Testing,0B3E79,"Testing for usability, security, performance, accessibility, etc.",,ok
Type: Training,0B3E79,Request for training,,ok
WIP,5F7D8C,Work in progress,,ok
Workgroup: AMD,00BFA5,Arterial Management Division,,ok
Workgroup: ATSD,00BFA5,Active Transportation and Street Design,,ok
Workgroup: CPO,00BFA5,Cooridor Program Office,,ok
Workgroup: CTM,00BFA5,Communications and Technology Management,,ok
Workgroup: DR,00BFA5,Development Review,,ok
Workgroup: DTS,00BFA5,Data and Technology Services,,ok
Workgroup: Finance,00BFA5,Finance and Administration,,ok
Workgroup: HR,00BFA5,Human Resources,,ok
Workgroup: OOD,00BFA5,Office of the Director,,ok
Workgroup: OSE,00BFA5,Office of Special Events,,ok
Workgroup: Other,00BFA5,,,ok
Workgroup: PE,00BFA5,Parking Enterprise,,ok
Workgroup: PIO,00BFA5,Public Information Officers,,ok
Workgroup: PWD,00BFA5,Public Works Department,,ok
Workgroup: ROW,00BFA5,Right of Way Management,,ok
Workgroup: SDD,00BFA5,Systems Development Division,,ok
Workgroup: SM,00BFA5,Smart Mobility,,ok
Workgroup: SMB,00BFA5,"Signs, Markings and Banners",,ok
Workgroup: TDSD,00BFA5,Transportation Development Services Division,,ok
Workgroup: TE,00BFA5,Transportation Engineering,,ok
Workgroup: VZ,00BFA5,Vision Zero Program,,ok
